rating,review
1,주문을 11월6에 시켰는데 11월16일에 배송이 왔네요 ㅎㅎㅎ 여기 회사측과는 전화도 안되고 아무런 연락을 받을수가 없으니 답답하신 분들은 다른곳에서 사시는거 추천드립니다
1,실내에서 신는건지 몰랐어요
1,남자 애들 인데 너무 좋아요 유해성분없어 초등들도 바르기좋아요
1,저렴해서 구매 했지만 바지 완성도 떨어짐~~^^;
1,양은 많은데 맛은 없었습니다
1,"총 4개 샀는데,사용하기 전에 부드러운 물티슈로 닦았는데,프린트가 번졌네요 교환하기가 귀찮아서 그냥 쓰지만 아쉽네요"
1,예쁘고 심플해서 샀는데. 재질이 깔끄러워요. 살에 자국 다 베이고ㅠㅠ....폭망이에요. 재대로 확인안한 제 잘못이죠;;; 참고로 싱글세트 2. 퀸세트 1 샀습니다.
1,진짜 너무하시네요 배송이늦는건 엄절수없다하고 참앗지만 밑에 서랍이 금방 안되서 AS되냐고 물어봣는데 전화도 안받고 10시에 톡을보냇는데 오후6시에 답해서 뭐하나물어보려고하니 상담시간이아니라고 뜨네요 빨리as좀 해주세요 안되면 안된다고 답장부탁드립니다
1,피부 트러블 더 많이 올라와서 몸에 사용했는데 몸에도 뾰루지나네요ㅜ
1,세정력이 약해요. 처음사용할 땐 세제찌꺼기가 없어서 좋다고 했는데 2/3 사용해보니 너무 안씻겨요. 지멘스랑 안맞는건지.... 다시 쓰던 고체형으로 갈아탔습니다.
1,지퍼 한번쓰고 고장남 최악
1,무게가 많이 나가요 연마제 닦느라 애먹었네요
1,무게를많이 지탱을못햎자꾸 내려가네오 ㅠ
2,택배가 엉망이네용 저희집 밑에층에 말도없이 놔두고가고
2,선물용으로 빨리 받아서 전달했어야 하는 상품이었는데 머그컵만 와서 당황했습니다. 전화했더니 바로주신다했지만 배송도 누락되어있었네요.. 확인안하고 바로 선물했으면 큰일날뻔했네요..이렇게 배송이 오래걸렸으면 사는거 다시 생각했을거같아요 아쉽네요..
2,비추합니다 계란 뒤집을 때 완전 불편해요 ㅠㅠ 코팅도 묻어나고 보기엔 예쁘고 실용적으로 보였는데 생각보다 진짜 별로입니다.
2,넉넉한 길이로 주문했는데도 안 맞네요 별로예요
2,보폴이 계속 때처럼 나오다가 지금은 안나네요~
2,110인데 전문속옷브랜드 위생팬티105보다 작은듯해요. 불편해요. 밴딩부분이 다 신축성없는 일반실로 되어있어 빅사이즈임에도 빅사이즈같지않아요. 입고벗을때 편하게 밴딩부분이 늘어나고 입었을때도 밴딩이 잡아주어야하는데 말이죠.
2,베이지 색 구매했는데 약간 살색에 가까워요
2,화면빨인가봐요;; 노란컬러가 돋보여요;; 저렴한맛에 그냥 씁니다
2,별루 ㅏㅛㅇ치ㅗ티ㅓ치ㅗ탛캏타ㅗ티ㅗ티ㅗ티ㅛ티ㅛ티ㅗㅗㅗ치ㅕ치ㅕ쳐ㅣ처ㅣ치ㅓ처ㅣ펴ㅣ쳐ㅣ치ㅕㅐㅛㅌ쵸ㅔ려ㅔㅎ
2,화장이 깨끗하게 지워지지않아요 거품이생기고 오랫동안 문질러서 씻어내야하지만 세정력이 별로인듯해요
2,채집통이 결착이 안됩니다. 채집통이 결착이 안되서 커터칼로 결착 부분과 모서리 부분을 깍아 냈더니 겨우 결착이 됩니다.해당 부분은 제품 불량 이슈 같구요 보내시기 전에 최소한의 테스트는 하고 보내주세요.
2,처음 쓸때만 좋고 쓰다보니 의자뺄때 소리 계속 나요 그래서 붙이는부직포 덧붙였는데 여전히 끌리네요 비추에요 테니스공으로 살껄 이쁜거 산다고 이거 사서 후회되요
2,"배송기사나, 판매하는 회사나 불친절하고 불쾌합니다. 서비스면에선 최악이네요 제품은 그럭저럭 쓸만합니다. 싼게 비지떡 마인드부터 갖추고 장사하시길바랍니다. 이익에 눈"
4,재구매 다 좋은데 하나가 이상하네요
4,가성비 괜찮습니다 바퀴가 고정된다면 별다섯개짜린데...
4,고정이 잘되기는 하는데 많이 쓰면 떡진것 처럼 보일까봐 걱정되서 많이 못쓰겠어요
4,아주 편하진 않아요 밑위가 좀더길면 편할텐데
4,선물로보냈는데 잘받았되요
4,재구매 회사에서 쓰는거라 자주 주문하고있어요. 좀 빨리 떨어지는거 같긴한데.. 그냥 쓰고 있어요. 배송은 빨라요
4,아기목욕시키는데 잘쓰고 있긴한데 안전바는 잘안쓰게되네요 그리고 세면대에 설치한 시트는 밑에 고정다리가 좀 불안하네요
4,재구매 배송빠르고 너무만족해용~
4,시원하구 좋아용!!
4,저렴하게 받아서 기분은좋아요 근데 가방에 실리콘 같은게 좀 묻어있더라구요.. 그거말고는 괜찬은거같아요
4,만족합니다. 슬림핏 아닌 레귤러네요
4,배송이 좀 느리고 상자에 제품만들어있네요 사용설명서가없어요 남자는 상관없지만여자분들은난감할수도 있겠네요
4,상품은 맘에 드는데 배송기간이 늦네요
5,배공빠르고 굿
5,아주좋아요 바지 정말 좋아서2개 더 구매했어요 이가격에 대박입니다. 바느질이 조금 엉성하긴 하지만 편하고 가성비 최고예요.
5,민트색상 예뻐요. 옆 손잡이는 거는 용도로도 사용되네요 ㅎㅎ
5,사이즈도 딱이고 귀엽고 넘 좋아요 ㅎㅎ
5,촉감도 좋고 무게감이나 핏도 편합니다
5,불멍하기좋고 사이즈도 너무 좋아요
5,재구매 친구들이 좋은 향 난다고 해요
5,가게를 운영하는 사장님께서 대신 구매 해달라고 하셔서 구매하게되었는데 가게에 달아놓으니까 이쁘네요
5,재구매 늘 사는 흙이에요 팽이들이 젤 좋아해요 빠른배송 감사합니다
5,너무 생각보다 고급스럽
5,가볍고 좋아요. 옵션에 파우치도 있었으면 얼마나 좋았을까 아쉽네요. 따로 구매 했어요. 잘 사용할께요.
